brand,category,price,product_id,thumbnail_url,url,was_price
MANDO,Air Conditioners & Accessories,"SAR3,349",MP-NF23-30C,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/a/mando_split_air_conditioner_28000btu_cold_only_plus_-_mp-nf23-30c.jpg,https://blackbox.com.sa/en/mando-split-air-conditioner-28000btu-cold-only-plus.html,"SAR4,299"
Platinum,Air Conditioners & Accessories,"SAR3,299",PLS30 - CH,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/a/5/a54_-_2023-06-05t113943.068_5.jpg,https://blackbox.com.sa/en/platinum-split-air-conditioner-26400btu-hot-cold-smart-air-flow.html,"SAR4,549"
Platinum,Air Conditioners & Accessories,"SAR3,199",PLS30 - C,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/a/5/a54_-_2023-06-05t113943.068_6.jpg,https://blackbox.com.sa/en/platinum-split-air-conditioner-27200btu-cold-only-spatial-feel-sensor.html,"SAR4,399"
Samsung,TV,"SAR6,799",QA75Q70CAUXSA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_qled_tv_75inch_smart_quantum_hdr_4k_-_qa75q70cauxsa.jpg,https://blackbox.com.sa/en/samsung-qled-tv-75inch-smart-quantum-hdr-4k.html,"SAR13,499"
Samsung,TV,"SAR6,999",QA85Q70CAUXSA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_qled_tv_85inch_smart_quantum_hdr_4k_-_qa85q70cauxsa.jpg,https://blackbox.com.sa/en/samsung-qled-tv-85inch-smart-quantum-hdr-4k.html,"SAR18,999"
Dansat,TV,SAR949,DTD5021BU,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/d/t/dte5020bu_-_blackbox_1_1.jpg,https://blackbox.com.sa/en/dansat-tv-50-inch-led-smart-4k-black-dte5020bu.html,"SAR1,999"
Sony,TV,"SAR3,299",KD-65X75K,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/o/sony_65inch_led_tv_smart_hdr_4k_uhd_hdr_processor_x1_android_google_tv_-_kd-65x75k.jpeg,https://blackbox.com.sa/en/sony-65inch-led-tv-smart-hdr-4k-uhd-hdr-processor-x1-android-google-tv.html,"SAR4,999"
Raudi,TV,SAR449,CR43-160,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/c/r/cr43-160_with_stand_walnut_-_blackbox.jpg,https://blackbox.com.sa/en/tv-table-without-stand-black-cr43-160hc-1.html,SAR879
Samsung,TV,"SAR5,799",QA55S90CAUXSA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_oled_tv_55inch_smart_4k_laserslim_design_-_qa55s90cauxsa.jpg,https://blackbox.com.sa/en/samsung-oled-tv-55inch-smart-4k-laserslim-design.html,"SAR17,999"
Momax,Smartphones & Tablets,SAR89,BT11W,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/o/momax_pills_lite_3_true_wireless_earbuds_with_stylish_carrying_case_white_-_bt11w.jpg,https://blackbox.com.sa/en/momax-pills-lite-3-true-wireless-earbuds-with-stylish-carrying-case-white-bt11w.html,SAR129
